update_time,value_time,status,value
2016-03-21 18:33:04.498,2016-03-21 18:32:55.839,nominal,23.4899997711
2016-03-21 18:33:14.498,2016-03-21 18:33:05.839,nominal,24.0149993896
2016-03-21 18:33:24.498,2016-03-21 18:33:15.838,nominal,23.3549995422
2016-03-21 18:33:34.498,2016-03-21 18:33:25.838,nominal,22.8600006104
2016-03-21 18:33:44.498,2016-03-21 18:33:35.839,nominal,23.9249992371
2016-03-21 18:33:54.498,2016-03-21 18:33:45.840,nominal,23.9650001526
2016-03-21 18:34:04.498,2016-03-21 18:33:55.838,nominal,23.7649993896
2016-03-21 18:34:14.498,2016-03-21 18:34:05.838,nominal,23.9950008392
2016-03-21 18:34:24.498,2016-03-21 18:34:15.838,nominal,23.3999996185
2016-03-21 18:34:34.498,2016-03-21 18:34:25.838,nominal,23.7700004578
2016-03-21 18:34:44.498,2016-03-21 18:34:35.838,nominal,23.4599990845
2016-03-21 18:34:54.501,2016-03-21 18:34:45.838,nominal,23.3950004578
2016-03-21 18:35:04.501,2016-03-21 18:34:55.838,nominal,23.3250007629
2016-03-21 18:35:14.498,2016-03-21 18:35:05.838,nominal,22.9449996948
2016-03-21 18:35:24.498,2016-03-21 18:35:15.838,nominal,23.3999996185
2016-03-21 18:35:34.498,2016-03-21 18:35:25.838,nominal,23.4050006866
2016-03-21 18:35:44.498,2016-03-21 18:35:35.839,nominal,23.7900009155
2016-03-21 18:35:54.498,2016-03-21 18:35:45.838,nominal,23.4850006104
2016-03-21 18:36:04.498,2016-03-21 18:35:55.838,nominal,23.3999996185
2016-03-21 18:36:14.498,2016-03-21 18:36:05.838,nominal,23.7549991608
2016-03-21 18:36:24.498,2016-03-21 18:36:15.840,nominal,23.4650001526
2016-03-21 18:36:34.498,2016-03-21 18:36:25.838,nominal,23.375
2016-03-21 18:36:44.498,2016-03-21 18:36:35.838,nominal,23.3050003052
2016-03-21 18:36:54.498,2016-03-21 18:36:45.838,nominal,23.7450008392
2016-03-21 18:37:04.498,2016-03-21 18:36:55.838,nominal,23.0900001526
2016-03-21 18:37:14.498,2016-03-21 18:37:05.838,nominal,23.3799991608
2016-03-21 18:37:24.498,2016-03-21 18:37:15.838,nominal,23.7549991608
2016-03-21 18:37:34.498,2016-03-21 18:37:25.839,nominal,24.0100002289
2016-03-21 18:37:44.498,2016-03-21 18:37:35.838,nominal,23.75
2016-03-21 18:37:54.498,2016-03-21 18:37:45.838,nominal,22.7150001526
2016-03-21 18:38:04.498,2016-03-21 18:37:55.838,nominal,23.375
2016-03-21 18:38:14.498,2016-03-21 18:38:05.838,nominal,23.2950000763
2016-03-21 18:38:24.498,2016-03-21 18:38:15.839,nominal,24
2016-03-21 18:38:34.498,2016-03-21 18:38:25.838,nominal,23.3600006104
2016-03-21 18:38:44.498,2016-03-21 18:38:35.840,nominal,23.2350006104
2016-03-21 18:38:54.498,2016-03-21 18:38:45.841,nominal,23.9699993134
2016-03-21 18:39:04.498,2016-03-21 18:38:55.840,nominal,23.3349990845
2016-03-21 18:39:14.499,2016-03-21 18:39:05.838,nominal,23.9150009155
2016-03-21 18:39:24.498,2016-03-21 18:39:15.838,nominal,23.3299999237
2016-03-21 18:39:34.498,2016-03-21 18:39:25.838,nominal,23.9300003052
2016-03-21 18:39:44.498,2016-03-21 18:39:35.838,nominal,23.9750003815
2016-03-21 18:39:54.499,2016-03-21 18:39:45.839,nominal,23.8850002289
2016-03-21 18:40:04.498,2016-03-21 18:39:55.838,nominal,23.4050006866
2016-03-21 18:40:14.498,2016-03-21 18:40:05.839,nominal,23.3150005341
2016-03-21 18:40:24.498,2016-03-21 18:40:15.839,nominal,23.8950004578
2016-03-21 18:40:34.498,2016-03-21 18:40:25.838,nominal,22.8549995422
2016-03-21 18:40:44.498,2016-03-21 18:40:35.838,nominal,23.8799991608
2016-03-21 18:40:54.498,2016-03-21 18:40:45.838,nominal,23.4099998474
2016-03-21 18:41:04.499,2016-03-21 18:40:55.838,nominal,23.8850002289
2016-03-21 18:41:14.499,2016-03-21 18:41:05.838,nominal,23.3250007629
2016-03-21 18:41:24.499,2016-03-21 18:41:15.838,nominal,23.3999996185
2016-03-21 18:41:34.498,2016-03-21 18:41:25.840,nominal,23.9300003052
2016-03-21 18:41:44.499,2016-03-21 18:41:35.838,nominal,23.9699993134
2016-03-21 18:41:54.498,2016-03-21 18:41:45.838,nominal,23.7049999237
2016-03-21 18:42:04.498,2016-03-21 18:41:55.838,nominal,23.7049999237
2016-03-21 18:42:14.499,2016-03-21 18:42:05.838,nominal,23.9650001526
2016-03-21 18:42:24.498,2016-03-21 18:42:15.838,nominal,23.7000007629
2016-03-21 18:42:34.498,2016-03-21 18:42:25.838,nominal,23.9200000763
2016-03-21 18:42:44.498,2016-03-21 18:42:35.838,nominal,23.9549999237
2016-03-21 18:42:54.499,2016-03-21 18:42:45.838,nominal,23.6749992371
2016-03-21 18:43:04.498,2016-03-21 18:42:55.838,nominal,23.3850002289
2016-03-21 18:43:14.498,2016-03-21 18:43:05.838,nominal,23.9249992371
2016-03-21 18:43:24.498,2016-03-21 18:43:15.838,nominal,23.6749992371
2016-03-21 18:43:34.498,2016-03-21 18:43:25.838,nominal,23.3700008392
2016-03-21 18:43:44.498,2016-03-21 18:43:35.838,nominal,23.875
2016-03-21 18:43:54.499,2016-03-21 18:43:45.838,nominal,23.1749992371
2016-03-21 18:44:04.498,2016-03-21 18:43:55.838,nominal,23.6299991608
2016-03-21 18:44:14.498,2016-03-21 18:44:05.840,nominal,23.875
2016-03-21 18:44:24.498,2016-03-21 18:44:15.838,nominal,23.1949996948
2016-03-21 18:44:34.498,2016-03-21 18:44:25.838,nominal,23.6800003052
2016-03-21 18:44:44.498,2016-03-21 18:44:35.838,nominal,22.7649993896
